date,gross_btc_contracts_btc,gross_alt_contracts_btc,fee_credit_btc,funding_credit_btc,unrealised_change_btc,wallet_btc_fx_usd,prior_unrealised_fx_usd,gross_btc_contracts_usd,gross_alt_contracts_usd,fee_credit_usd,funding_credit_usd,unrealised_change_usd,flow_usd_eod,reference_gain_usd,decomposition_complete,residual_usd
2018-11-18,-0.27390594,-0.51839978,-0.39263253,0.00027693,-0.27726170327927946,1667.7577917104318,-5.411244646933916,-1521.6505780228267,-2879.9058716430395,-2181.221466847578,1.5384503693927243,-1540.2931059418027,0.0,-6459.186025022325,True,3.092281986027956e-11
2018-11-19,1.19873358,0.14853272,-1.02519933,-0.00581992,0.3769473271936654,-22542.82721404394,287.67601292631736,5744.571090450468,711.7985042998245,-4912.960253492847,-27.890220761759657,1806.406990299966,0.0,-18933.22509032197,True,7.275957614183426e-12
2018-11-20,8.9967007,1.24439984,-0.80315491,-0.01387845,-1.8590105582916294e-05,-14170.974037764943,-0.0007831093232046987,38843.53120174404,5372.734475037642,-3467.645956747114,-59.92063352811599,-0.08026335101419181,0.0,26517.64400228113,True,-4.001776687800884e-11
2018-11-21,0.89927181,0.0,-0.36413129,-4e-07,0.30459705491482225,9104.411117444164,-0.003926616214815566,4091.077038147724,0.0,-1656.550492103283,-0.0018197288039742841,1385.7100860855971,0.0,12924.642003229208,True,2.3646862246096134e-11
2018-11-22,5.90730519,0.0,-0.34818232,2e-08,-0.29826870847658427,-9782.46330346016,-74.83730218129199,25422.77046547569,0.0,-1498.4428460681588,8.607231097019279e-05,-1283.633851433717,0.0,12783.393248404638,True,-3.456079866737127e-11
2018-11-23,4.31623862,1.86319785,-0.77585421,0.05721261,-0.0062990637156730145,-622.6362999994104,-0.08660950268394575,18516.20120908478,7992.91914100295,-3328.331430683393,245.43596675776368,-27.022308416360612,0.0,22776.4796682437,True,5.820766091346741e-11
2018-11-24,11.3527107,0.18372495,-1.10533862,0.01190997,-3.7396818399315634e-05,-24581.874461995696,-0.005968495571187738,43212.01488087744,699.3153867109874,-4207.269097049089,45.3331203860241,-0.14234414281064156,0.0,15167.371516291314,True,3.092281986027956e-11
2018-11-25,10.17123926,2.11361561,-2.97892526,-0.48546496,0.040976322238606144,8611.434624219057,-0.003520994034355223,40144.36456647766,8342.125618352437,-11757.37376703193,-1916.057801838642,161.72743325478228,-3951.5870953917015,43586.21715243932,True,-7.275957614183426e-12
2018-11-26,15.36661695,0.93196139,-1.60009123,-0.13034731,-0.04098435040616266,-17036.59968491924,-10.097144507526965,56860.877455184265,3448.5236771489376,-5920.795165402042,-482.3223253783856,-151.6538177275999,0.0,36707.932994398405,True,7.275957614183426e-12
2018-11-27,4.01669917,0.0,-1.47314785,-0.36447623,0.22483347500626394,6381.041977061148,-0.0025232046733508887,15169.28897035154,0.0,-5563.425212324796,-1376.464858754735,849.0961877481923,0.0,15459.53454087663,True,-4.3655745685100555e-11
2018-11-28,4.73448117,0.0,-0.33128176,-0.16862471,-0.3582370504907004,37077.26377044575,97.09564248836179,19924.946916158035,0.0,-1394.1910940774544,-709.6529218010479,-1507.6317674800748,-42135.25439463819,53487.83054573364,True,6.548361852765083e-11
2018-11-29,6.05857293,0.0,-1.07973582,-0.16313436,-0.2229892214453173,2447.14246813955,-4.078387262078797,25682.529893081653,0.0,-4577.0427779237825,-691.5329939403312,-945.2601151744105,-42441.26335696904,21911.758086920585,True,-1.8189894035458565e-11
2018-11-30,5.88295063,0.0,-0.4421958,-0.21054701,-0.050347141916063265,-19893.18005017405,94.70429371482574,23374.92806622927,0.0,-1756.9916299278389,-836.5736044447573,-200.04601341150732,0.0,782.8410619858769,True,-6.366462912410498e-11
2018-12-01,-7.55486862,0.0,-0.01469054,-0.22627926,0.4067812754379503,13996.561860394777,-71.07938486546279,-31338.152022974828,0.0,-60.93744298886201,-938.6230530539983,1687.3587207098358,0.0,-16724.87132277852,True,1.8189894035458565e-11
2018-12-02,6.13788126,0.0,0.07954841,-0.0536271,0.966452840688774,-3566.5203419577874,-0.00040714586608179377,25157.620951509427,0.0,326.0487880593607,-219.80390258131044,3961.24545321649,0.0,25658.590541100362,True,4.3655745685100555e-11
2018-12-03,7.36121838,0.0,-0.34465451,-0.13738963,-1.121438624542023,-19991.16556385251,-246.22538771231112,28296.351685938433,0.0,-1324.843894266425,-528.1225318682854,-4310.783905073626,0.0,1895.2104031652561,True,-1.7280399333685637e-11
2018-12-04,5.13065161,0.0,-0.01381107,-0.09184884,0.3983869491992209,4179.8503863026335,-7.590021579688927,19973.378635281704,0.0,-53.76582770319501,-357.5630929521265,1550.9011300244524,0.0,25285.21120937384,True,5.820766091346741e-11
2018-12-05,0.64846877,0.0,-0.01467396,0.06428084,-0.6773697804700873,-16576.940854605,-44.64878177669856,2405.5084282517046,0.0,-54.43336069341994,238.45111676711787,-2512.7173294155737,0.0,-16544.78078147187,True,0.0
2018-12-06,10.13894951,0.0,-0.32143166,-0.00062215,-1.453175645505766,-17990.992860051152,85.72968374043232,35607.67618502419,0.0,-1128.85801962089,-2.184971501896038,-5103.507791817855,0.0,11467.862225772755,True,-7.639755494892597e-11
2018-12-07,19.53061732,0.34998,-0.8837173,-0.31995376,1.8910190500925381,-14020.543932562861,262.2614976516687,65876.68809373835,1180.4810324882526,-2980.7746463561652,-1079.202654303956,6378.399110544014,-33770.43287408533,55617.308501199244,True,-6.548361852765083e-11
2018-12-08,-0.55572427,0.0,-0.02229721,0.17837853,-0.31939123410620596,3829.4289306084347,0.13573373449857587,-1893.8811898275114,0.0,-75.98780345626058,607.9053244086,-1088.4697378243684,0.0,1379.1312576434575,True,6.480149750132114e-11
2018-12-09,2.18959696,1.12533637,-0.13671863,0.09672321,0.31557344729455394,14461.35759370845,-41.801169479882866,7752.135732627219,3984.1854206365024,-484.04404842562434,342.44268059972393,1117.2687219297493,0.0,27131.544931596203,True,6.548361852765083e-11
2018-12-10,-3.12096685,3.63e-06,-0.66714294,1.35e-05,-1.3235085944529601e-05,-14261.005270081832,-0.008277612766622875,-10653.709294573282,0.012391341080505554,-2277.3541925595737,0.04608349988617768,-0.04517919123098383,0.0,-27192.06373917783,True,-1.0550138540565968e-10
2018-12-11,-1.45291448,0.0,-0.1056986,-0.00414474,-0.39398627848164836,-6630.04661902546,-0.0031747934387547313,-4870.98907156437,0.0,-354.3613423686532,-13.89550694303474,-1320.864292597886,0.0,-13190.160007292754,True,8.731149137020111e-11
2018-12-12,-3.46990349,0.0,-0.297771,-0.12673633,0.39930530534591924,7543.365501813358,-27.752163259792372,-11877.524470081746,0.0,-1019.27397957132,-433.820094755245,1366.8272183788083,0.0,-4448.1779874758795,True,5.729816621169448e-11
2018-12-13,6.90478397,0.0,-0.67798346,0.01707894,-0.7764779529711348,-16784.683685961452,-0.8737156246142707,22511.95429493485,0.0,-2210.4576668228174,55.68317826545044,-2531.5833578947954,0.0,1040.0390468965052,True,-1.1732481652870774e-10
