date,grid_seconds,max_age_seconds,snapshots,valid_snapshots,coverage,peak_gross_usd,min_equity_btc,max_abs_basis_equity_usd
2021-10-01,300,60,288,288,1.0,66924684.93394118,1130.1061809436271,12287.1398462629
2021-10-01,300,300,288,288,1.0,66924684.93394118,1130.1061809436271,12287.1398462629
2021-11-01,10,30,8640,8606,0.9960648148148148,112190096.44881597,773.0365976109281,77486.37983062828
2021-11-01,10,60,8640,8609,0.9964120370370371,112190096.44881597,773.0365976109281,77486.37983062828
2021-11-01,10,300,8640,8633,0.9991898148148148,112190096.44881597,773.0365976109281,77486.37983062828
2021-11-01,60,30,1440,1434,0.9958333333333333,112174239.98415616,773.6002168615177,77416.37580847337
2021-11-01,60,60,1440,1435,0.9965277777777778,112174239.98415616,773.6002168615177,77416.37580847337
2021-11-01,60,300,1440,1439,0.9993055555555556,112174239.98415616,773.6002168615177,77416.37580847337
2021-11-01,300,30,288,287,0.9965277777777778,111998848.65159878,773.6002168615177,76758.36052329082
2021-11-01,300,60,288,287,0.9965277777777778,111998848.65159878,773.6002168615177,76758.36052329082
2021-11-01,300,300,288,288,1.0,111998848.65159878,773.6002168615177,76758.36052329082
2021-12-01,10,30,8640,8640,1.0,50143091.27550526,858.935630589074,5017.570983310118
2021-12-01,10,60,8640,8640,1.0,50143091.27550526,858.935630589074,5017.570983310118
2021-12-01,10,300,8640,8640,1.0,50143091.27550526,858.935630589074,5017.570983310118
2021-12-01,60,30,1440,1440,1.0,50143091.27440154,859.4594455088833,5016.0371625298585
2021-12-01,60,60,1440,1440,1.0,50143091.27440154,859.4594455088833,5016.0371625298585
2021-12-01,60,300,1440,1440,1.0,50143091.27440154,859.4594455088833,5016.0371625298585
2021-12-01,300,30,288,288,1.0,50143091.27440154,859.8236645456926,4973.862341277317
2021-12-01,300,60,288,288,1.0,50143091.27440154,859.8236645456926,4973.862341277317
2021-12-01,300,300,288,288,1.0,50143091.27440154,859.8236645456926,4973.862341277317
