time,PriceUSD
2021-03-02,0.0468060834973241
2021-03-03,0.0492222301626169
2021-03-04,0.0514780860132206
2021-03-05,0.0500780555197903
2021-03-06,0.0502601010159893
2021-03-07,0.0516466403642199
2021-03-08,0.0528744812655976
2021-03-09,0.0531249972561047
2021-03-10,0.0516571234413778
2021-03-11,0.0515361093743674
2021-03-12,0.0498687910739042
2021-03-13,0.0529262262513446
2021-03-14,0.0517712583634624
2021-03-15,0.0511936920317936
2021-03-16,0.0521774005749544
2021-03-17,0.0547999264590624
2021-03-18,0.0534299666587776
2021-03-19,0.0586442379419208
2021-03-20,0.0612887863413619
2021-03-21,0.0628475311544628
2021-03-22,0.059948010402325
2021-03-23,0.0586164267498561
2021-03-24,0.0558045702391966
2021-03-25,0.0555575351488773
2021-03-26,0.0648306625363928
2021-03-27,0.0638836645270728
2021-03-28,0.0633925410005792
2021-03-29,0.0647968999980999
2021-03-30,0.0657989535835708
2021-03-31,0.0922647972469873
2021-04-01,0.0858470491974676
2021-04-02,0.0915524641226229
2021-04-03,0.101717153784294
2021-04-04,0.12665650933695
2021-04-05,0.136946582461461
2021-04-06,0.124089641062476
2021-04-07,0.111896924377655
2021-04-08,0.123052589369501
2021-04-09,0.115275345991825
2021-04-10,0.125353830821881
2021-04-11,0.121648774100327
2021-04-12,0.129181770245509
2021-04-13,0.146624578758302
2021-04-14,0.140259564952422
2021-04-15,0.165619866898686
2021-04-16,0.162687957415018
2021-04-17,0.157607487642529
2021-04-18,0.142516541576857
2021-04-19,0.131166473643171
2021-04-20,0.133244774063242
2021-04-21,0.123619342703223
2021-04-22,0.111078401092139
2021-04-23,0.108039693309019
2021-04-24,0.103856425623592
2021-04-25,0.101462650321156
2021-04-26,0.116757449794984
2021-04-27,0.125363471054221
2021-04-28,0.122438782648768
2021-04-29,0.121121673116839
2021-04-30,0.132401260108317
2021-05-01,0.131137102100605
2021-05-02,0.127613764250431
2021-05-03,0.131926494390332
2021-05-04,0.120733103610322
2021-05-05,0.145042515540117
2021-05-06,0.153314759754098
2021-05-07,0.146824389291939
2021-05-08,0.143679636415328
2021-05-09,0.143170178759733
2021-05-10,0.127598682047798
2021-05-11,0.13799077208962
2021-05-12,0.123695898921445
2021-05-13,0.119961171406016
2021-05-14,0.124883507832393
2021-05-15,0.121116012779028
2021-05-16,0.118879382816736
2021-05-17,0.112526189641037
2021-05-18,0.115919369356255
2021-05-19,0.0811374309373026
2021-05-20,0.0892219295189316
2021-05-21,0.0775497877070404
2021-05-22,0.0757780507998201
2021-05-23,0.0631354269381975
2021-05-24,0.076193272042928
2021-05-25,0.0771294209118629
2021-05-26,0.0828805779657953
2021-05-27,0.0792781126429467
2021-05-28,0.0719747815900468
2021-05-29,0.0688752133611484
2021-05-30,0.0719848927243444
2021-05-31,0.0766572671322822
2021-06-01,0.076050598009049
2021-06-02,0.0781000629670772
2021-06-03,0.0820688809272674
2021-06-04,0.0773217792091058
2021-06-05,0.0753540016150728
2021-06-06,0.0772511134962653
2021-06-07,0.0717510720558938
2021-06-08,0.0725259559750221
2021-06-09,0.0751186156913632
2021-06-10,0.0728279458080336
2021-06-11,0.0689355533121481
2021-06-12,0.0683045241596135
2021-06-13,0.0714204207867692
2021-06-14,0.0719421098056349
2021-06-15,0.0718982930886025
2021-06-16,0.0687107271436288
2021-06-17,0.0733655571569869
2021-06-18,0.0694459588140835
2021-06-19,0.0686563113014612
2021-06-20,0.0677531530432675
2021-06-21,0.0540351014576293
2021-06-22,0.0507688270396584
2021-06-23,0.056736491560826
2021-06-24,0.0660396890880703
2021-06-25,0.061626843535344
2021-06-26,0.0623272614297616
2021-06-27,0.0646344804050789
2021-06-28,0.0651637148448833
2021-06-29,0.0677608542673709
2021-06-30,0.0679872284650405
2021-07-01,0.0648305699213048
2021-07-02,0.0663710771110151
2021-07-03,0.0666117751480651
2021-07-04,0.0673986317404333
2021-07-05,0.0648857166482084
2021-07-06,0.0648238416451493
2021-07-07,0.0643707458385833
2021-07-08,0.0610832766128947
2021-07-09,0.062368209704171
2021-07-10,0.0614302196696714
2021-07-11,0.0619191392478294
2021-07-12,0.0601773063564821
2021-07-13,0.0593414657727404
2021-07-14,0.0598266446978699
2021-07-15,0.0578255012992464
2021-07-16,0.0558458309691873
2021-07-17,0.0559881804867626
2021-07-18,0.0559393793876871
2021-07-19,0.0536972139864803
2021-07-20,0.050527905717843
2021-07-21,0.0537023585481311
2021-07-22,0.0551915977891904
2021-07-23,0.0559048412726125
2021-07-24,0.057220919558931
2021-07-25,0.0577707691106532
2021-07-26,0.0586250277398234
2021-07-27,0.0599421662155548
2021-07-28,0.0604822804392814
2021-07-29,0.0619454219095464
2021-07-30,0.0630353713803485
2021-07-31,0.0643491581349439
2021-08-01,0.0634137011212368
2021-08-02,0.0647506459231142
2021-08-03,0.0640696517363428
2021-08-04,0.0673845017407638
2021-08-05,0.070319340512391
2021-08-06,0.0716958843203725
2021-08-07,0.0751939018961265
2021-08-08,0.0721031314949051
2021-08-09,0.073923585236207
2021-08-10,0.074431993954012
2021-08-11,0.0831339707508266
2021-08-12,0.0837261142019273
2021-08-13,0.0893137040040249
2021-08-14,0.0927757699242966
2021-08-15,0.0930049227881834
2021-08-16,0.0895931203778545
2021-08-17,0.085362611775975
2021-08-18,0.0850755397006372
2021-08-19,0.0878124129909264
2021-08-20,0.0899530695259248
2021-08-21,0.0882346240781057
2021-08-22,0.0880521005846882
2021-08-23,0.089977088464097
2021-08-24,0.0851813484056069
2021-08-25,0.0874165729357647
2021-08-26,0.0838573721303001
2021-08-27,0.0880780432993432
2021-08-28,0.0883270018224789
2021-08-29,0.0886082867729571
2021-08-30,0.0863940351965263
2021-08-31,0.088795971601861
2021-09-01,0.0947554145797604
2021-09-02,0.0997266299116357
2021-09-03,0.101212387613298
2021-09-04,0.101666116097945
2021-09-05,0.104909143697189
2021-09-06,0.103714219777783
2021-09-07,0.0852583947894879
2021-09-08,0.0929870247011965
2021-09-09,0.0929094218976097
2021-09-10,0.0905044082937437
2021-09-11,0.0949001270596241
2021-09-12,0.112828430068006
2021-09-13,0.104683114092196
2021-09-14,0.117489850371307
2021-09-15,0.120029984308593
2021-09-16,0.116046676189106
2021-09-17,0.105092616378879
2021-09-18,0.105725004509539
2021-09-19,0.103422122633535
2021-09-20,0.0913762375261521
2021-09-21,0.0879476491517411
2021-09-22,0.0985345404376195
2021-09-23,0.0988636702282516
2021-09-24,0.0922131046287694
2021-09-25,0.0907368644444715
2021-09-26,0.0874262133270689
2021-09-27,0.0867961577836999
2021-09-28,0.0836102418053858
2021-09-29,0.0857153794065254
2021-09-30,0.0892017634002056
2021-10-01,0.0944531062434936
2021-10-02,0.0938443556804505
2021-10-03,0.0949074490133578
2021-10-04,0.0936519534552641
2021-10-05,0.0968495815874827
2021-10-06,0.0954114968718849
2021-10-07,0.0953375264456602
2021-10-08,0.0974299361891903
2021-10-09,0.102809731279205
2021-10-10,0.0978037953789459
2021-10-11,0.0967938107808563
2021-10-12,0.095162525710322
2021-10-13,0.0977696491267237
2021-10-14,0.09708876140794
2021-10-15,0.0987778002287956
2021-10-16,0.098820243498068
2021-10-17,0.0985142490277163
2021-10-18,0.0980203431514757
2021-10-19,0.100532241182268
2021-10-20,0.103174042930484
2021-10-21,0.0998199887670773
2021-10-22,0.0997705134445831
2021-10-23,0.10063675543579
2021-10-24,0.0990250956015242
2021-10-25,0.100731759355643
2021-10-26,0.101153094184899
2021-10-27,0.0912297075721455
2021-10-28,0.0952401753720847
2021-10-29,0.0991536208496781
2021-10-30,0.100682436702587
2021-10-31,0.101334675317023
2021-11-01,0.100605234914668
2021-11-02,0.107171684511282
2021-11-03,0.105750216409533
2021-11-04,0.103461548707058
2021-11-05,0.103468197885058
2021-11-06,0.102250026420322
2021-11-07,0.104337764888471
2021-11-08,0.109924883744938
2021-11-09,0.114415064529091
2021-11-10,0.106159512864352
2021-11-11,0.109187112720266
2021-11-12,0.107987245789979
2021-11-13,0.112701246237748
