frequency,period,currency,flow_timing,days,valid_days,linked_return,invalid_reasons,net_flow,flow_adjusted_gain
M,2021-01,BTC,EOD,31,31,0.6655576631409446,,-100.012,339.24358000995215
M,2021-01,BTC,MID,31,31,0.6741250865640653,,-100.012,339.24358000995215
M,2021-01,USD,BOD,31,31,0.9238996943230045,,-3351530.8949660417,13407527.181565657
M,2021-01,USD,EOD,31,31,0.9028669467556454,,-3417024.9363880814,13473021.222987697
M,2021-01,USD,MID,31,31,0.9127802498660911,,-3384277.9156770613,13440274.202276677
M,2021-02,BTC,BOD,28,28,-0.07767275091066136,,0.0,-58.47030801867038
M,2021-02,BTC,EOD,28,28,-0.07767275091066136,,0.0,-58.47030801867038
M,2021-02,BTC,MID,28,28,-0.07767275091066136,,0.0,-58.47030801867038
M,2021-02,USD,BOD,28,28,0.26173113724307984,,0.0,6532933.260465778
M,2021-02,USD,EOD,28,28,0.26173113724307984,,0.0,6532933.260465778
M,2021-02,USD,MID,28,28,0.26173113724307984,,0.0,6532933.260465778
M,2021-03,BTC,BOD,31,31,-0.016507962076443363,,-50.012,-6.715566011582553
M,2021-03,BTC,EOD,31,31,-0.014299414853387623,,-50.012,-6.715566011582553
M,2021-03,BTC,MID,31,31,-0.015365832474307867,,-50.012,-6.715566011582553
M,2021-03,USD,BOD,31,31,0.27474291353241553,,-2554936.4465895128,8546241.357744997
M,2021-03,USD,EOD,31,31,0.2776054989049784,,-2605048.8182766777,8596353.729432162
M,2021-03,USD,MID,31,31,0.27621777426501776,,-2579992.6324330955,8571297.54358858
M,2021-04,BTC,BOD,30,30,0.2606351074503383,,-100.012,144.83951530609664
M,2021-04,BTC,EOD,30,30,0.26376340415395316,,-100.012,144.83951530609664
M,2021-04,BTC,MID,30,30,0.26232697163830576,,-100.012,144.83951530609664
M,2021-04,USD,BOD,30,30,0.23810468719272984,,-5820918.365592004,7739386.676268094
M,2021-04,USD,EOD,30,30,0.24117707411007389,,-5876290.323181844,7794758.633857935
M,2021-04,USD,MID,30,30,0.2397636603311368,,-5848604.344386924,7767072.6550630145
M,2021-05,BTC,BOD,31,31,0.24621691714544292,,0.0,168.02021036329245
M,2021-05,BTC,EOD,31,31,0.24621691714544292,,0.0,168.02021036329245
M,2021-05,BTC,MID,31,31,0.24621691714544292,,0.0,168.02021036329245
M,2021-05,USD,BOD,31,31,-0.19468484005625616,,0.0,-7671201.900555167
M,2021-05,USD,EOD,31,31,-0.19468484005625616,,0.0,-7671201.900555167
M,2021-05,USD,MID,31,31,-0.19468484005625616,,0.0,-7671201.900555167
M,2021-06,BTC,BOD,30,30,0.36343315004833837,,-300.021,389.14526193874116
M,2021-06,BTC,EOD,30,30,0.3735523868035914,,-300.021,389.14526193874116
