time,symbol,execcomm,lastqty
2018-09-28 20:00:00,ETHUSD,-37510,2089
2018-09-29 04:00:00,ETHUSD,-12,1
2018-09-29 04:00:00,XBTUSD,2,1
2018-09-29 12:00:00,XBTUSD,2,1
2018-09-29 20:00:00,XBTUSD,2,1
2018-09-30 04:00:00,XBTUSD,2,1
2018-09-30 12:00:00,XBTUSD,2,1
2018-09-30 20:00:00,XBTUSD,2,1
2018-10-01 04:00:00,XBTUSD,5,1
2018-10-01 12:00:00,XBTUSD,2,1
2018-10-01 20:00:00,XBTUSD,2,1
2018-10-02 04:00:00,XBTUSD,2,1
2018-10-02 12:00:00,XBTUSD,2,1
2018-10-02 20:00:00,XBTUSD,2,1
2018-10-02 20:00:00,ETHUSD,3682056,100000
2018-10-03 04:00:00,XBTUSD,2,1
2018-10-03 04:00:00,ETHUSD,-15,1
2018-10-03 12:00:00,ETHUSD,-22,1
2018-10-03 12:00:00,XBTUSD,2,1
2018-10-03 20:00:00,ETHUSD,-6,1
2018-10-03 20:00:00,XBTUSD,2,1
2018-10-04 04:00:00,XBTUSD,2,1
2018-10-04 04:00:00,ETHUSD,-15,1
2018-10-04 12:00:00,XBTUSD,2,1
2018-10-04 12:00:00,ETHUSD,-2,1
2018-10-04 20:00:00,ETHUSD,-4,1
2018-10-04 20:00:00,XBTUSD,5,1
2018-10-05 04:00:00,ETHUSD,-18,1
2018-10-05 04:00:00,XBTUSD,4,1
2018-10-05 12:00:00,XBTUSD,2,1
2018-10-05 12:00:00,ETHUSD,-2,1
2018-10-05 20:00:00,ETHUSD,-12,1
2018-10-05 20:00:00,XBTUSD,5,1
2018-10-06 04:00:00,ETHUSD,-2,1
2018-10-06 04:00:00,XBTUSD,8,1
2018-10-06 12:00:00,ETHUSD,-2,1
2018-10-06 12:00:00,XBTUSD,2,1
2018-10-06 20:00:00,ETHUSD,-2,1
2018-10-06 20:00:00,XBTUSD,2,1
2018-10-07 04:00:00,ETHUSD,-15,1
2018-10-07 04:00:00,XBTUSD,2,1
2018-10-07 12:00:00,ETHUSD,-12,1
2018-10-07 12:00:00,XBTUSD,2,1
2018-10-07 20:00:00,ETHUSD,-18,1
2018-10-07 20:00:00,XBTUSD,2,1
2018-10-08 04:00:00,XBTUSD,2,1
2018-10-08 04:00:00,ETHUSD,-21,1
2018-10-08 12:00:00,ETHUSD,-16,1
